Столбец1;юл_фл;тип;операция;объект;кол-во;сумма
ПМО;юл;;доход;МЦ1;662;2721200
ПСО;юл;;доход;МЦ1;330;796000
ПГПА;юл;;доход;МЦ1;120;65040
Справки;юл;;доход;МЦ1;90;108000
Приемы врачей;юл;;доход;МЦ1;78;85800
УЗИ, ЭКГ, ЭЭГ, ФГДС;юл;;доход;МЦ1;15;25500
Прочее;юл;;доход;МЦ1;30;198460
ПМО;фл;;доход;МЦ1;316;1061200
ПСО;фл;;доход;МЦ1;158;301200
ПГПА;фл;;доход;МЦ1;85;48090
Справки;фл;;доход;МЦ1;36;40600
Приемы врачей;фл;;доход;МЦ1;18;21600
УЗИ, ЭКГ, ЭЭГ, ФГДС;фл;;доход;МЦ1;14;18040
Прочее;фл;;доход;МЦ1;5;9270
Здравпункт;юл;;доход;МЦ1;0;0
Предрейсовые;юл;;доход;МЦ1;0;0
ПМО;юл;;доход;МЦ2;893;3257600
ПСО;юл;;доход;МЦ2;446;788200
ПГПА;юл;;доход;МЦ2;220;115720
Справки;юл;;доход;МЦ2;105;115500
Приемы врачей;юл;;доход;МЦ2;58;92800
УЗИ, ЭКГ, ЭЭГ, ФГДС;юл;;доход;МЦ2;46;55200
Прочее;юл;;доход;МЦ2;18;74980
ПМО;фл;;доход;МЦ2;230;736000
ПСО;фл;;доход;МЦ2;115;125500
ПГПА;фл;;доход;МЦ2;48;25248
Справки;фл;;доход;МЦ2;26;28600
Приемы врачей;фл;;доход;МЦ2;23;36800
УЗИ, ЭКГ, ЭЭГ, ФГДС;фл;;доход;МЦ2;13;13600
Прочее;фл;;доход;МЦ2;4;4252
Здравпункт;юл;;доход;МЦ2;0;0
Предрейсовые;юл;;доход;МЦ2;0;0
ПМО;юл;;доход;Здравпункты;0;0
ПСО;юл;;доход;Здравпункты;0;0
ПГПА;юл;;доход;Здравпункты;0;0
Справки;юл;;доход;Здравпункты;0;0
Приемы врачей;юл;;доход;Здравпункты;0;0
УЗИ, ЭКГ, ЭЭГ, ФГДС;юл;;доход;Здравпункты;0;0
Прочее;юл;;доход;Здравпункты;0;0
ПМО;фл;;доход;Здравпункты;0;0
ПСО;фл;;доход;Здравпункты;0;0
ПГПА;фл;;доход;Здравпункты;0;0
Справки;фл;;доход;Здравпункты;0;0
Приемы врачей;фл;;доход;Здравпункты;0;0
УЗИ, ЭКГ, ЭЭГ, ФГДС;фл;;доход;Здравпункты;0;0
Прочее;фл;;доход;Здравпункты;0;0
Здравпункт;юл;;доход;Здравпункты;7;2170040
Предрейсовые;юл;;доход;Здравпункты;3151;329960
Аренда;;аренда и ремонт;расход;МЦ1;;168850
Аренда Офис;;аренда и ремонт;расход;МЦ1;;90200
Интернет;;связь;расход;МЦ1;;20994,6158
Связь;;связь;расход;МЦ1;;75850
Аренда;;аренда и ремонт;расход;МЦ2;;344100
Аренда Офис;;аренда и ремонт;расход;МЦ2;;90200
Интернет;;связь;расход;МЦ2;;20994,6158
Связь;;связь;расход;МЦ2;;75850
Аренда;;аренда и ремонт;расход;Здравпункты;;39803,39
Аренда Офис;;аренда и ремонт;расход;Здравпункты;;39600
Интернет;;связь;расход;Здравпункты;;9217,1484
Связь;;связь;расход;Здравпункты;;33300
Аренда;;аренда и ремонт;расход;ПТЦ;;0
Аренда Офис;;аренда и ремонт;расход;ПТЦ;;0
Интернет;;связь;расход;ПТЦ;;0
Связь;;связь;расход;ПТЦ;;0
Аренда;;аренда и ремонт;расход;Компания;;0
Аренда Офис;;аренда и ремонт;расход;Компания;;0
Интернет;;связь;расход;Компания;;0
Связь;;связь;расход;Компания;;0
Оргтехника;;покупка оборудования;расход;МЦ1;;0
Медицинское оборудование;;покупка оборудования;расход;МЦ1;;3408,93
Мебель;;покупка оборудования;расход;МЦ1;;0
Оснащение здравпунктов;;оборудование (текущее);расход;МЦ1;;0
Прочее оборудование;;оборудование (текущее);расход;МЦ1;;27697,55
Мед. Оборудование;;оборудование (текущее);расход;МЦ1;;61500
Покупка оргтехники;;оборудование (текущее);расход;МЦ1;;49200
Оргтехника;;покупка оборудования;расход;МЦ2;;0
Медицинское оборудование;;покупка оборудования;расход;МЦ2;;0
Мебель;;покупка оборудования;расход;МЦ2;;0
Оснащение здравпунктов;;оборудование (текущее);расход;МЦ2;;0
Прочее оборудование;;оборудование (текущее);расход;МЦ2;;27697,55
Мед. Оборудование;;оборудование (текущее);расход;МЦ2;;61500
Покупка оргтехники;;оборудование (текущее);расход;МЦ2;;49200
Оргтехника;;покупка оборудования;расход;Здравпункты;;0
Медицинское оборудование;;покупка оборудования;расход;Здравпункты;;0
Мебель;;покупка оборудования;расход;Здравпункты;;0
Оснащение здравпунктов;;оборудование (текущее);расход;Здравпункты;;180000
Прочее оборудование;;оборудование (текущее);расход;Здравпункты;;12159,9
Мед. Оборудование;;оборудование (текущее);расход;Здравпункты;;27000
Покупка оргтехники;;оборудование (текущее);расход;Здравпункты;;21600
Оргтехника;;покупка оборудования;расход;ПТЦ;;0
Медицинское оборудование;;покупка оборудования;расход;ПТЦ;;0
Мебель;;покупка оборудования;расход;ПТЦ;;0
Оснащение здравпунктов;;оборудование (текущее);расход;ПТЦ;;0
Прочее оборудование;;оборудование (текущее);расход;ПТЦ;;0
Мед. Оборудование;;оборудование (текущее);расход;ПТЦ;;0
Покупка оргтехники;;оборудование (текущее);расход;ПТЦ;;0
Оргтехника;;покупка оборудования;расход;Компания;;30000
Медицинское оборудование;;покупка оборудования;расход;Компания;;24941,07
Мебель;;покупка оборудования;расход;Компания;;23620
Оснащение здравпунктов;;оборудование (текущее);расход;Компания;;0
Прочее оборудование;;оборудование (текущее);расход;Компания;;0
Мед. Оборудование;;оборудование (текущее);расход;Компания;;0
Покупка оргтехники;;оборудование (текущее);расход;Компания;;0
Зарплата;;ФОТ_офис;расход;МЦ1;;1250500
Налоги взносы;;ФОТ_офис;расход;МЦ1;;1230
Зарплата;;ФОТ_медперсонал;расход;МЦ1;;1130000
Налоги взносы;;ФОТ_медперсонал;расход;МЦ1;;9000
Зарплата Деп_продаж;;прочие расходы;расход;МЦ1;;349577,8654
Зарплата;;ФОТ_офис;расход;МЦ2;;1250500
Налоги взносы;;ФОТ_офис;расход;МЦ2;;1230
Зарплата;;ФОТ_медперсонал;расход;МЦ2;;1400000
Налоги взносы;;ФОТ_медперсонал;расход;МЦ2;;190000
Зарплата Деп_продаж;;прочие расходы;расход;МЦ2;;349577,8654
Зарплата;;ФОТ_офис;расход;Здравпункты;;549000
Налоги взносы;;ФОТ_офис;расход;Здравпункты;;540
Зарплата;;ФОТ_медперсонал;расход;Здравпункты;;550000
Налоги взносы;;ФОТ_медперсонал;расход;Здравпункты;;37000
Зарплата Деп_продаж;;прочие расходы;расход;Здравпункты;;153473,2092
Зарплата;;ФОТ_офис;расход;ПТЦ;;0
Налоги взносы;;ФОТ_офис;расход;ПТЦ;;0
Зарплата;;ФОТ_медперсонал;расход;ПТЦ;;380000
Налоги взносы;;ФОТ_медперсонал;расход;ПТЦ;;33000
Зарплата Деп_продаж;;прочие расходы;расход;ПТЦ;;0
Зарплата;;ФОТ_офис;расход;Компания;;0
Налоги взносы;;ФОТ_офис;расход;Компания;;0
Зарплата;;ФОТ_медперсонал;расход;Компания;;0
Налоги взносы;;ФОТ_медперсонал;расход;Компания;;0
Зарплата Деп_продаж;;прочие расходы;расход;Компания;;0
Маркетинг;;маркетинг;расход;МЦ1;;29110
Хэдхантер и суперджоб;;hr;расход;МЦ1;;6970
Маркетинг;;маркетинг;расход;МЦ2;;29110
Хэдхантер и суперджоб;;hr;расход;МЦ2;;6970
Маркетинг;;маркетинг;расход;Здравпункты;;12780
Хэдхантер и суперджоб;;hr;расход;Здравпункты;;3060
Маркетинг;;маркетинг;расход;ПТЦ;;0
Хэдхантер и суперджоб;;hr;расход;ПТЦ;;0
Маркетинг;;маркетинг;расход;Компания;;0
Хэдхантер и суперджоб;;hr;расход;Компания;;0
ЭЦП;;аккаунты_сервисы;расход;МЦ1;;6560
Электронный документооборот;;аккаунты_сервисы;расход;МЦ1;;11521
Элек.площадки для торгов;;аккаунты_сервисы;расход;МЦ1;;0
Лицензия;;аккаунты_сервисы;расход;МЦ1;;28700
Битрикс;;аккаунты_сервисы;расход;МЦ1;;24600
Листоход;;аккаунты_сервисы;расход;МЦ1;;9020
Облачное хранилище;;аккаунты_сервисы;расход;МЦ1;;8200
Хайперскрипт;;аккаунты_сервисы;расход;МЦ1;;3690
ZOOM;;аккаунты_сервисы;расход;МЦ1;;4510
Аккаунт gmail;;аккаунты_сервисы;расход;МЦ1;;0
Русский Робот;;аккаунты_сервисы;расход;МЦ1;;25420
СДО;;аккаунты_сервисы;расход;МЦ1;;0
СДО;;аккаунты_сервисы;расход;МЦ1;;22140
Талантикс;;аккаунты_сервисы;расход;МЦ1;;17220
Ddata;;аккаунты_сервисы;расход;МЦ1;;0
Аудит сервера;;аккаунты_сервисы;расход;МЦ1;;0
Бэствэб;;аккаунты_сервисы;расход;МЦ1;;0
Фокус;;аккаунты_сервисы;расход;МЦ1;;6970
Эльба;;аккаунты_сервисы;расход;МЦ1;;1230
Электронный документооборот;;аккаунты_сервисы;расход;МЦ1;;14350
Лицензия ЭВМ iSpring Learn;;аккаунты_сервисы;расход;МЦ1;;14350
ЭЦП;;аккаунты_сервисы;расход;МЦ2;;6560
Электронный документооборот;;аккаунты_сервисы;расход;МЦ2;;11521
Элек.площадки для торгов;;аккаунты_сервисы;расход;МЦ2;;0
Лицензия;;аккаунты_сервисы;расход;МЦ2;;28700
Битрикс;;аккаунты_сервисы;расход;МЦ2;;24600
Листоход;;аккаунты_сервисы;расход;МЦ2;;9020
Облачное хранилище;;аккаунты_сервисы;расход;МЦ2;;8200
Хайперскрипт;;аккаунты_сервисы;расход;МЦ2;;3690
ZOOM;;аккаунты_сервисы;расход;МЦ2;;4510
Аккаунт gmail;;аккаунты_сервисы;расход;МЦ2;;0
Русский Робот;;аккаунты_сервисы;расход;МЦ2;;25420
СДО;;аккаунты_сервисы;расход;МЦ2;;0
СДО;;аккаунты_сервисы;расход;МЦ2;;22140
Талантикс;;аккаунты_сервисы;расход;МЦ2;;17220
Ddata;;аккаунты_сервисы;расход;МЦ2;;0
Аудит сервера;;аккаунты_сервисы;расход;МЦ2;;0
Бэствэб;;аккаунты_сервисы;расход;МЦ2;;0
Фокус;;аккаунты_сервисы;расход;МЦ2;;6970
Эльба;;аккаунты_сервисы;расход;МЦ2;;1230
Электронный документооборот;;аккаунты_сервисы;расход;МЦ2;;14350
Лицензия ЭВМ iSpring Learn;;аккаунты_сервисы;расход;МЦ2;;14350
ЭЦП;;аккаунты_сервисы;расход;Здравпункты;;2880
Электронный документооборот;;аккаунты_сервисы;расход;Здравпункты;;5058
Элек.площадки для торгов;;аккаунты_сервисы;расход;Здравпункты;;0
Лицензия;;аккаунты_сервисы;расход;Здравпункты;;12600
Битрикс;;аккаунты_сервисы;расход;Здравпункты;;10800
Листоход;;аккаунты_сервисы;расход;Здравпункты;;3960
Облачное хранилище;;аккаунты_сервисы;расход;Здравпункты;;3600
Хайперскрипт;;аккаунты_сервисы;расход;Здравпункты;;1620
ZOOM;;аккаунты_сервисы;расход;Здравпункты;;1980
Аккаунт gmail;;аккаунты_сервисы;расход;Здравпункты;;0
Русский Робот;;аккаунты_сервисы;расход;Здравпункты;;11160
СДО;;аккаунты_сервисы;расход;Здравпункты;;0
СДО;;аккаунты_сервисы;расход;Здравпункты;;9720
Талантикс;;аккаунты_сервисы;расход;Здравпункты;;7560
Ddata;;аккаунты_сервисы;расход;Здравпункты;;0
Аудит сервера;;аккаунты_сервисы;расход;Здравпункты;;0
Бэствэб;;аккаунты_сервисы;расход;Здравпункты;;0
Фокус;;аккаунты_сервисы;расход;Здравпункты;;3060
Эльба;;аккаунты_сервисы;расход;Здравпункты;;540
Электронный документооборот;;аккаунты_сервисы;расход;Здравпункты;;6300
Лицензия ЭВМ iSpring Learn;;аккаунты_сервисы;расход;Здравпункты;;6300
ЭЦП;;аккаунты_сервисы;расход;ПТЦ;;0
Электронный документооборот;;аккаунты_сервисы;расход;ПТЦ;;0
Элек.площадки для торгов;;аккаунты_сервисы;расход;ПТЦ;;0
Лицензия;;аккаунты_сервисы;расход;ПТЦ;;0
Битрикс;;аккаунты_сервисы;расход;ПТЦ;;0
Листоход;;аккаунты_сервисы;расход;ПТЦ;;0
Облачное хранилище;;аккаунты_сервисы;расход;ПТЦ;;0
Хайперскрипт;;аккаунты_сервисы;расход;ПТЦ;;0
ZOOM;;аккаунты_сервисы;расход;ПТЦ;;0
Аккаунт gmail;;аккаунты_сервисы;расход;ПТЦ;;0
Русский Робот;;аккаунты_сервисы;расход;ПТЦ;;0
СДО;;аккаунты_сервисы;расход;ПТЦ;;0
СДО;;аккаунты_сервисы;расход;ПТЦ;;0
Талантикс;;аккаунты_сервисы;расход;ПТЦ;;0
Ddata;;аккаунты_сервисы;расход;ПТЦ;;0
Аудит сервера;;аккаунты_сервисы;расход;ПТЦ;;0
Бэствэб;;аккаунты_сервисы;расход;ПТЦ;;0
Фокус;;аккаунты_сервисы;расход;ПТЦ;;0
Эльба;;аккаунты_сервисы;расход;ПТЦ;;0
Электронный документооборот;;аккаунты_сервисы;расход;ПТЦ;;0
Лицензия ЭВМ iSpring Learn;;аккаунты_сервисы;расход;ПТЦ;;0
ЭЦП;;аккаунты_сервисы;расход;Компания;;0
Электронный документооборот;;аккаунты_сервисы;расход;Компания;;0
Элек.площадки для торгов;;аккаунты_сервисы;расход;Компания;;0
Лицензия;;аккаунты_сервисы;расход;Компания;;0
Битрикс;;аккаунты_сервисы;расход;Компания;;0
Листоход;;аккаунты_сервисы;расход;Компания;;0
Облачное хранилище;;аккаунты_сервисы;расход;Компания;;0
Хайперскрипт;;аккаунты_сервисы;расход;Компания;;0
ZOOM;;аккаунты_сервисы;расход;Компания;;0
Аккаунт gmail;;аккаунты_сервисы;расход;Компания;;0
Русский Робот;;аккаунты_сервисы;расход;Компания;;0
СДО;;аккаунты_сервисы;расход;Компания;;0
СДО;;аккаунты_сервисы;расход;Компания;;0
Талантикс;;аккаунты_сервисы;расход;Компания;;0
Ddata;;аккаунты_сервисы;расход;Компания;;0
Аудит сервера;;аккаунты_сервисы;расход;Компания;;0
Бэствэб;;аккаунты_сервисы;расход;Компания;;0
Фокус;;аккаунты_сервисы;расход;Компания;;0
Эльба;;аккаунты_сервисы;расход;Компания;;0
Электронный документооборот;;аккаунты_сервисы;расход;Компания;;0
Лицензия ЭВМ iSpring Learn;;аккаунты_сервисы;расход;Компания;;0
Лаб. Диагностика;;прямые затраты_расходники;расход;МЦ1;;14048,65
Расходники ;;прямые затраты_расходники;расход;МЦ1;;350000
Подрядчики ;;прямые затраты_расходники;расход;МЦ1;;823992,71
Транспортные услуги;;прямые затраты_расходники;расход;МЦ1;;0
Дополнительные расходы ;;прямые затраты_расходники;расход;МЦ1;;0
Лаб. Диагностика;;прямые затраты_расходники;расход;МЦ2;;20216,35
Расходники ;;прямые затраты_расходники;расход;МЦ2;;250000
Подрядчики ;;прямые затраты_расходники;расход;МЦ2;;546328,48
Транспортные услуги;;прямые затраты_расходники;расход;МЦ2;;0
Дополнительные расходы ;;прямые затраты_расходники;расход;МЦ2;;10650
Лаб. Диагностика;;прямые затраты_расходники;расход;Здравпункты;;0
Расходники ;;прямые затраты_расходники;расход;Здравпункты;;100000
Подрядчики ;;прямые затраты_расходники;расход;Здравпункты;;7700
Транспортные услуги;;прямые затраты_расходники;расход;Здравпункты;;10095
Дополнительные расходы ;;прямые затраты_расходники;расход;Здравпункты;;0
Лаб. Диагностика;;прямые затраты_расходники;расход;ПТЦ;;0
Расходники ;;прямые затраты_расходники;расход;ПТЦ;;0
Подрядчики ;;прямые затраты_расходники;расход;ПТЦ;;0
Транспортные услуги;;прямые затраты_расходники;расход;ПТЦ;;0
Дополнительные расходы ;;прямые затраты_расходники;расход;ПТЦ;;0
Лаб. Диагностика;;прямые затраты_расходники;расход;Компания;;0
Расходники ;;прямые затраты_расходники;расход;Компания;;0
Подрядчики ;;прямые затраты_расходники;расход;Компания;;0
Транспортные услуги;;прямые затраты_расходники;расход;Компания;;0
Дополнительные расходы ;;прямые затраты_расходники;расход;Компания;;0
Дератизация и дезинсекция;;обслуживание;расход;МЦ1;;1170
Коммунальные расходы;;обслуживание;расход;МЦ1;;20183,4021
Обслуживание помещений;;обслуживание;расход;МЦ1;;12300
Охрана;;обслуживание;расход;МЦ1;;8046,66
Уборка;;обслуживание;расход;МЦ1;;44906,46543
Ремонт и обслуживание оргтехники;;обслуживание;расход;МЦ1;;0
Поверка оборудования;;обслуживание;расход;МЦ1;;0
Ремонт оборудования;;обслуживание;расход;МЦ1;;0
Прочие расходы;;обслуживание;расход;МЦ1;;9020
Юридические услуги ;;обслуживание;расход;МЦ1;;0
Страхование имущества;;обслуживание;расход;МЦ1;;0
1С обслуживание;;обслуживание;расход;МЦ1;;2050
ККТ и ОФД;;обслуживание;расход;МЦ1;;1776,284
Синхронизация 1С ;;обслуживание;расход;МЦ1;;0
Почта;;обслуживание;расход;МЦ1;;0
Комиссии банка;;обслуживание;расход;МЦ1;;8268,4413
Дератизация и дезинсекция;;обслуживание;расход;МЦ2;;1342
Коммунальные расходы;;обслуживание;расход;МЦ2;;20183,4021
Обслуживание помещений;;обслуживание;расход;МЦ2;;12300
Охрана;;обслуживание;расход;МЦ2;;8046,66
Уборка;;обслуживание;расход;МЦ2;;76262,53457
Ремонт и обслуживание оргтехники;;обслуживание;расход;МЦ2;;0
Поверка оборудования;;обслуживание;расход;МЦ2;;0
Ремонт оборудования;;обслуживание;расход;МЦ2;;0
Прочие расходы;;обслуживание;расход;МЦ2;;9020
Юридические услуги ;;обслуживание;расход;МЦ2;;0
Страхование имущества;;обслуживание;расход;МЦ2;;0
1С обслуживание;;обслуживание;расход;МЦ2;;2050
ККТ и ОФД;;обслуживание;расход;МЦ2;;1776,284
Синхронизация 1С ;;обслуживание;расход;МЦ2;;0
Почта;;обслуживание;расход;МЦ2;;0
Комиссии банка;;обслуживание;расход;МЦ2;;8268,4413
Дератизация и дезинсекция;;обслуживание;расход;Здравпункты;;0
Коммунальные расходы;;обслуживание;расход;Здравпункты;;8861,0058
Обслуживание помещений;;обслуживание;расход;Здравпункты;;5400
Охрана;;обслуживание;расход;Здравпункты;;3532,68
Уборка;;обслуживание;расход;Здравпункты;;0
Ремонт и обслуживание оргтехники;;обслуживание;расход;Здравпункты;;0
Поверка оборудования;;обслуживание;расход;Здравпункты;;0
Ремонт оборудования;;обслуживание;расход;Здравпункты;;0
Прочие расходы;;обслуживание;расход;Здравпункты;;3960
Юридические услуги ;;обслуживание;расход;Здравпункты;;0
Страхование имущества;;обслуживание;расход;Здравпункты;;0
1С обслуживание;;обслуживание;расход;Здравпункты;;900
ККТ и ОФД;;обслуживание;расход;Здравпункты;;779,832
Синхронизация 1С ;;обслуживание;расход;Здравпункты;;0
Почта;;обслуживание;расход;Здравпункты;;0
Комиссии банка;;обслуживание;расход;Здравпункты;;3630,0474
Дератизация и дезинсекция;;обслуживание;расход;ПТЦ;;0
Коммунальные расходы;;обслуживание;расход;ПТЦ;;0
Обслуживание помещений;;обслуживание;расход;ПТЦ;;0
Охрана;;обслуживание;расход;ПТЦ;;0
Уборка;;обслуживание;расход;ПТЦ;;0
Ремонт и обслуживание оргтехники;;обслуживание;расход;ПТЦ;;0
Поверка оборудования;;обслуживание;расход;ПТЦ;;0
Ремонт оборудования;;обслуживание;расход;ПТЦ;;0
Прочие расходы;;обслуживание;расход;ПТЦ;;0
Юридические услуги ;;обслуживание;расход;ПТЦ;;0
Страхование имущества;;обслуживание;расход;ПТЦ;;0
1С обслуживание;;обслуживание;расход;ПТЦ;;0
ККТ и ОФД;;обслуживание;расход;ПТЦ;;0
Синхронизация 1С ;;обслуживание;расход;ПТЦ;;0
Почта;;обслуживание;расход;ПТЦ;;0
Комиссии банка;;обслуживание;расход;ПТЦ;;0
Дератизация и дезинсекция;;обслуживание;расход;Компания;;0
Коммунальные расходы;;обслуживание;расход;Компания;;0
Обслуживание помещений;;обслуживание;расход;Компания;;0
Охрана;;обслуживание;расход;Компания;;0
Уборка;;обслуживание;расход;Компания;;0
Ремонт и обслуживание оргтехники;;обслуживание;расход;Компания;;10000
Поверка оборудования;;обслуживание;расход;Компания;;11000
Ремонт оборудования;;обслуживание;расход;Компания;;0
Прочие расходы;;обслуживание;расход;Компания;;0
Юридические услуги ;;обслуживание;расход;Компания;;0
Страхование имущества;;обслуживание;расход;Компания;;0
1С обслуживание;;обслуживание;расход;Компания;;0
ККТ и ОФД;;обслуживание;расход;Компания;;0
Синхронизация 1С ;;обслуживание;расход;Компания;;0
Почта;;обслуживание;расход;Компания;;0
Комиссии банка;;обслуживание;расход;Компания;;0
